Original,Paraphrase
(인서트)총소리에 일제히 은행 쪽을 돌아다보는 이승우와 사람들.,이승우와 사람들이 총소리가 난 은행 쪽을 돌아다본다.
"고개를 끄덕이며 손으로만 오케이 사인을 건네 오는 협상남.    김성미, 건성으로 상황을 담아내고 있는 카메라맨에게 다가간다. ","협상남이 손으로 오케이 사인을 보내고, 김성미는 카메라맨에게 다가간다."
"점장, 송경태의 위협에 꾸물꾸물 움직이고 그 뒤로 김대리가 따른다.  도만, 수첩에 적힌 매뉴얼의 절차들을 하나씩 지워가며 체크한다.",점장은 송경태의 위협에 움직이고 김대리가 뒤따른다. 도만은 수첩에 적힌 절차들을 지워가며 체크한다.
"필름회사 로고가 박힌 다이어리를 손에 든 경희, 조심스럽게 다이어리를 열면... 마치 경찰 검식반의 증거자료 비닐 같은 느낌의 봉투 하나.여러 종류의 사진들이 들어있다. 밝고 환하게 웃는 경희의 일상, 남자 부분 누드들... 마치 번갈아 찍은 듯 섞여있는 사진들. ","필름회사 로고가 박힌 다이어리를 손에 든 경희. 조심스럽게 다이어리를 열면 경찰 검식반의 증거 자료 비닐 같은 느낌의 봉투 하나. 여러 종류의 사진들이 들어 있다. 밝고 환하게 웃는 경희의 일상, 남자 부분 누드들. 번갈아 찍은 듯 섞여 있는 사진들."
"노래가 한곡 끝난 듯... 관객들 박수소리에 인사하는 가희.여성 쿼텟과 스트링 오케스트라가 무대를 채운 꽤 규모 있는 째즈바.가희의 신호에 따라 새 곡이 시작된다.The Corrs 의 <Only when I sleep>무대 한 가운데 환한 조명을 받으며 노래부르는 가희, ",노래가 끝나고 관객들의 박수소리에 인사하는 가희. 여성 쿼텟과 스트링 오케스트라가 무대를 채운 꽤 규모 있는 재즈바. 가희의 신호에 따라 새 곡이 시작된다. The Corrs의 <Only when I sleep>. 무대 한 가운데 환한 조명을 받으며 노래 부르는 가희.
"흐느끼는 듯(?) 한동안 피아노 위에 얼굴을 묻고 있던 가희.다시 고개를 들곤 피아노 위에 놓여있던 봉투를 집어든다. 봉투안에 들어있는 초대권 한장.　봄의 소리, 여러분을 고전의 세계로 초대하며...　","가희가 한동안 피아노 위에 얼굴을 묻고 있다가 고개를 들고 피아노 위에 놓여있던 봉투를 집어든다. 봉투 안에는 초대권 한 장이 있다. '봄의 소리, 여러분을 고전의 세계로 초대합니다.'"
"조형사, 구내식당 입구에서 기훈을 손짓하며 부른다.기훈, 녹음기와 사진봉투를 챙겨 나가려다 바닥에 떨어져있는 손수건을 발견한다.경희가 내내 꼬옥 움켜쥐고 있던 그 꽃무늬 손수건.기훈, 창밖을 내려다보면,아래로 경찰서 문을 나서는 경희의 뒷모습이 보인다.",조형사가 구내식당 입구에서 기훈을 손짓하며 부른다. 기훈은 녹음기와 사진봉투를 챙겨 나가려다 바닥에 떨어져있는 손수건을 발견한다. 그 손수건은 경희가 내내 꽉 움켜쥐고 있던 꽃무늬 손수건이다. 기훈이 창밖을 내려다보면 경찰서 문을 나서는 경희의 뒷모습이 보인다.
"기훈, 9시방향으로 고개 돌려보면 좀 떨어진 테이블 너머 핸드폰을 든 가희가 보인다.",기훈이 9시 방향으로 고개를 돌려보면 조금 떨어진 테이블 너머 핸드폰을 든 가희가 보인다.
인써트 - 명식의 대사와는 달리...-상기되는 경희의 얼굴.-경희와 명식의 정사의 느낌!!!... 등이 명식 대사와 병진행된다.,명식의 대사와는 달리 경희의 얼굴이 상기된다. 경희와 명식의 정사의 느낌이 명식의 대사와 병행된다.
"주인이 자리를 비운 사이, 그를 힐끗 보던 경희의 얼굴이 긴장된다. 천천히 검은 지갑을 내려 놓으며, 밑에 있던 빨간 지갑을 주머니에 집어 넣는다. 그리고는 아무렇지도 않은 듯 뒤적뒤적 다른 지갑들을 만져보는 경희, 지갑들을 다 놓아두고 주인에게 가벼운 눈인사를 한 후 뒤돌아서 걸어가기 시작한다. 경희의 얼굴에 감도는 흥분. 주인, 진열대 위에 나와있는 지갑들을 정리해 넣다가 인상을 구기며 경희를 부른다. ","주인이 자리를 비운 사이, 경희가 그를 힐끗 보며 얼굴이 긴장된다. 천천히 검은 지갑을 내려놓으며, 밑에 있던 빨간 지갑을 주머니에 집어 넣는다. 그리고는 아무렇지도 않은 듯 다른 지갑들을 뒤적뒤적 만져보는 경희. 지갑들을 다 놓아두고 주인에게 가벼운 눈인사를 한 후 뒤돌아서 걸어가기 시작한다. 경희의 얼굴에 감도는 흥분. 주인이 진열대 위에 나와있는 지갑들을 정리해 넣다가 인상을 구기며 경희를 부른다."
